"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","8105 THOURON AVE",0.02,0.03,0.05,0.08,0.12,0.15,0.21,0.29,0.39,0.49,0.15,0.21,0.29,0.39,0.49,"Cedarbrook","-75.1718140231735","40.0734105682394",c(-75.1718140231735, 40.0734105682394)
"2","8125 WILLIAMS AVE",0.03,0.04,0.06,0.1,0.14,0.15,0.22,0.3,0.39,0.49,0.15,0.22,0.3,0.39,0.49,"Cedarbrook","-75.1709140988446","40.0749514457416",c(-75.1709140988446, 40.0749514457416)
"3","8433 THOURON AVE",0.03,0.04,0.06,0.09,0.14,0.22,0.3,0.39,0.5,0.6,0.22,0.3,0.39,0.5,0.6,"Cedarbrook","-75.1777024323284","40.0767838528993",c(-75.1777024323284, 40.0767838528993)
"4","8653 RUGBY ST",0.03,0.04,0.06,0.1,0.14,0.15,0.21,0.29,0.38,0.48,0.15,0.21,0.29,0.38,0.48,"Cedarbrook","-75.1824764107284","40.0779529640378",c(-75.1824764107284, 40.0779529640378)
"5","8401 FAYETTE ST",0.04,0.07,0.1,0.15,0.22,0.2,0.28,0.37,0.47,0.57,0.2,0.28,0.37,0.47,0.57,"Cedarbrook","-75.175057934506","40.0781125089411",c(-75.175057934506, 40.0781125089411)
"6","8305 WILLIAMS AVE",0.04,0.07,0.1,0.16,0.23,0.18,0.25,0.33,0.43,0.53,0.18,0.25,0.33,0.43,0.53,"Cedarbrook","-75.1742512981917","40.0768538872152",c(-75.1742512981917, 40.0768538872152)
"7","917 E DURHAM ST",0.03,0.05,0.07,0.11,0.16,0.15,0.22,0.3,0.39,0.49,0.15,0.22,0.3,0.39,0.49,"Cedarbrook","-75.1797272473663","40.068716789302",c(-75.1797272473663, 40.068716789302)
"8","8645 FORREST AVE",0.02,0.04,0.06,0.09,0.13,0.22,0.3,0.39,0.5,0.6,0.22,0.3,0.39,0.5,0.6,"Cedarbrook","-75.1806992355013","40.0795487818106",c(-75.1806992355013, 40.0795487818106)
"9","8409 FAYETTE ST",0.04,0.06,0.1,0.15,0.21,0.13,0.18,0.25,0.34,0.44,0.13,0.18,0.25,0.34,0.44,"Cedarbrook","-75.1752725611105","40.0782368757841",c(-75.1752725611105, 40.0782368757841)
"10","8029 GILBERT ST",0.03,0.04,0.06,0.1,0.15,0.13,0.18,0.25,0.34,0.44,0.13,0.18,0.25,0.34,0.44,"Cedarbrook","-75.1707648726397","40.071861491314",c(-75.1707648726397, 40.071861491314)
"11","1036 E GORGAS LN",0.03,0.05,0.07,0.11,0.16,0.11,0.16,0.23,0.31,0.41,0.11,0.16,0.23,0.31,0.41,"Cedarbrook","-75.1732270792177","40.0685608247605",c(-75.1732270792177, 40.0685608247605)
