"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","1803 WYLIE ST",0.03,0.05,0.07,0.11,0.16,0.21,0.28,0.37,0.48,0.58,0.21,0.28,0.37,0.48,0.58,"Francisville","-75.1666286838043","39.9696255096626",c(-75.1666286838043, 39.9696255096626)
"2","1535 FAIRMOUNT AVE",0.04,0.06,0.09,0.13,0.19,0.16,0.23,0.31,0.4,0.51,0.16,0.23,0.31,0.4,0.51,"Francisville","-75.1634895865784","39.967377964613",c(-75.1634895865784, 39.967377964613)
"3","1430 W GIRARD AVE",0.06,0.08,0.13,0.19,0.27,0.23,0.31,0.41,0.51,0.61,0.23,0.31,0.41,0.51,0.61,"Francisville","-75.1609906443611","39.9713885156206",c(-75.1609906443611, 39.9713885156206)
"4","815 N 15TH ST",0.02,0.04,0.06,0.08,0.13,0.23,0.31,0.4,0.51,0.61,0.23,0.31,0.4,0.51,0.61,"Francisville","-75.1616257067944","39.9686029724864",c(-75.1616257067944, 39.9686029724864)
"5","703-05 N 18TH ST",0.03,0.05,0.07,0.11,0.16,0.17,0.24,0.33,0.43,0.53,0.17,0.24,0.33,0.43,0.53,"Francisville","-75.1666178332661","39.9676618138407",c(-75.1666178332661, 39.9676618138407)
"6","804 N 16TH ST",0.04,0.06,0.1,0.14,0.21,0.25,0.33,0.43,0.54,0.64,0.25,0.33,0.43,0.54,0.64,"Francisville","-75.1636781813703","39.9685152290081",c(-75.1636781813703, 39.9685152290081)
"7","2005 W GIRARD AVE",0.05,0.07,0.11,0.17,0.24,0.12,0.17,0.24,0.32,0.42,0.12,0.17,0.24,0.32,0.42,"Francisville","-75.169194311056","39.9728826348476",c(-75.169194311056, 39.9728826348476)
"8","1842 POPLAR ST",0.02,0.03,0.05,0.08,0.12,0.21,0.29,0.38,0.49,0.59,0.21,0.29,0.38,0.49,0.59,"Francisville","-75.1675704071746","39.9710678199849",c(-75.1675704071746, 39.9710678199849)
"9","719 N UBER ST",0.03,0.04,0.07,0.1,0.15,0.15,0.21,0.29,0.38,0.48,0.15,0.21,0.29,0.38,0.48,"Francisville","-75.1690618985558","39.9677795048277",c(-75.1690618985558, 39.9677795048277)
"10","2008 S COLLEGE AVE",0.05,0.07,0.11,0.17,0.24,0.19,0.26,0.35,0.45,0.55,0.19,0.26,0.35,0.45,0.55,"Francisville","-75.1693444596805","39.9729985691013",c(-75.1693444596805, 39.9729985691013)
"11","902 N 16TH ST",0.05,0.07,0.11,0.16,0.23,0.17,0.24,0.32,0.42,0.52,0.17,0.24,0.32,0.42,0.52,"Francisville","-75.1631303590928","39.9708152058831",c(-75.1631303590928, 39.9708152058831)
"12","722 N UBER ST",0.02,0.03,0.05,0.08,0.12,0.23,0.31,0.41,0.51,0.62,0.23,0.31,0.41,0.51,0.62,"Francisville","-75.1694343939234","39.9679207753899",c(-75.1694343939234, 39.9679207753899)
"13","855 CORINTHIAN AVE",0.03,0.05,0.08,0.12,0.18,0.2,0.27,0.36,0.46,0.57,0.2,0.27,0.36,0.46,0.57,"Francisville","-75.170455245455","39.9707528572824",c(-75.170455245455, 39.9707528572824)
"14","1744 FOLSOM ST",0.03,0.05,0.07,0.11,0.16,0.17,0.23,0.31,0.41,0.51,0.17,0.23,0.31,0.41,0.51,"Francisville","-75.1666504569992","39.9678148595551",c(-75.1666504569992, 39.9678148595551)
"15","1644-46 FRANCIS ST",0.03,0.05,0.08,0.12,0.18,0.16,0.23,0.31,0.41,0.51,0.16,0.23,0.31,0.41,0.51,"Francisville","-75.1645969863707","39.9691116133343",c(-75.1645969863707, 39.9691116133343)
"16","839 N 16TH ST",0.03,0.05,0.08,0.12,0.18,0.17,0.23,0.31,0.41,0.51,0.17,0.23,0.31,0.41,0.51,"Francisville","-75.1629243221633","39.969738883113",c(-75.1629243221633, 39.969738883113)
"17","807 CAMERON ST",0.03,0.05,0.07,0.11,0.16,0.19,0.27,0.36,0.46,0.56,0.19,0.27,0.36,0.46,0.56,"Francisville","-75.166412809083","39.9688769107698",c(-75.166412809083, 39.9688769107698)
"18","848 N 19TH ST",0.02,0.04,0.06,0.09,0.13,0.24,0.33,0.42,0.53,0.63,0.24,0.33,0.42,0.53,0.63,"Francisville","-75.1681340581098","39.9702507469243",c(-75.1681340581098, 39.9702507469243)
"19","1712 W GIRARD AVE",0.05,0.08,0.12,0.18,0.25,0.19,0.26,0.35,0.45,0.56,0.19,0.26,0.35,0.45,0.56,"Francisville","-75.1648907077007","39.9719100134037",c(-75.1648907077007, 39.9719100134037)
"20","1838 POPLAR ST",0.02,0.03,0.05,0.07,0.11,0.22,0.3,0.4,0.5,0.61,0.22,0.3,0.4,0.5,0.61,"Francisville","-75.167446486852","39.9710645588922",c(-75.167446486852, 39.9710645588922)
"21","846 N 15TH ST",0.03,0.05,0.08,0.12,0.18,0.17,0.24,0.33,0.42,0.53,0.17,0.24,0.33,0.42,0.53,"Francisville","-75.1618152670434","39.9696288516203",c(-75.1618152670434, 39.9696288516203)
