"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","1427 W MAYFIELD ST",0.06,0.09,0.13,0.19,0.27,0.07,0.1,0.15,0.21,0.29,0.07,0.1,0.15,0.21,0.29,"Glenwood","-75.1544180979747","39.9991739486374",c(-75.1544180979747, 39.9991739486374)
"2","2110 W STELLA ST",0.04,0.06,0.09,0.14,0.2,0.09,0.13,0.19,0.26,0.35,0.09,0.13,0.19,0.26,0.35,"Glenwood","-75.1654517841902","39.9995178971133",c(-75.1654517841902, 39.9995178971133)
"3","2012 W CAMBRIA ST",0.13,0.2,0.28,0.38,0.49,0.14,0.19,0.27,0.36,0.46,0.14,0.19,0.27,0.36,0.46,"Glenwood","-75.1639455116777","39.9981347311886",c(-75.1639455116777, 39.9981347311886)
"4","1410 W MAYFIELD ST",0.04,0.06,0.09,0.14,0.2,0.09,0.13,0.18,0.25,0.34,0.09,0.13,0.18,0.25,0.34,"Glenwood","-75.1540015975886","39.9988705589174",c(-75.1540015975886, 39.9988705589174)
"5","2858 N OPAL ST",0.04,0.06,0.1,0.15,0.21,0.09,0.13,0.18,0.26,0.34,0.09,0.13,0.18,0.26,0.34,"Glenwood","-75.1630498386326","39.9979731823297",c(-75.1630498386326, 39.9979731823297)
"6","2928 N LAMBERT ST",0.04,0.06,0.1,0.14,0.21,0.09,0.13,0.18,0.25,0.34,0.09,0.13,0.18,0.25,0.34,"Glenwood","-75.1646797034121","39.999133022661",c(-75.1646797034121, 39.999133022661)
"7","3015 N 21ST ST",0.06,0.09,0.13,0.2,0.28,0.07,0.1,0.15,0.21,0.29,0.07,0.1,0.15,0.21,0.29,"Glenwood","-75.1646901305315","40.0003541982746",c(-75.1646901305315, 40.0003541982746)
"8","3111 N 15TH ST",0.1,0.14,0.21,0.3,0.4,0.11,0.16,0.22,0.31,0.4,0.11,0.16,0.22,0.31,0.4,"Glenwood","-75.1545999769211","40.0004989557028",c(-75.1545999769211, 40.0004989557028)
"9","2840 N VAN PELT ST",0.03,0.05,0.07,0.11,0.16,0.09,0.13,0.18,0.25,0.34,0.09,0.13,0.18,0.25,0.34,"Glenwood","-75.1664105950738","39.9979890536773",c(-75.1664105950738, 39.9979890536773)
"10","2828 N 19TH ST",0.04,0.06,0.1,0.14,0.21,0.09,0.13,0.18,0.25,0.34,0.09,0.13,0.18,0.25,0.34,"Glenwood","-75.1622515801672","39.997237786978",c(-75.1622515801672, 39.997237786978)
"11","2747 N GARNET ST",0.04,0.06,0.09,0.14,0.21,0.09,0.13,0.18,0.25,0.34,0.09,0.13,0.18,0.25,0.34,"Glenwood","-75.1626832078011","39.9961196315888",c(-75.1626832078011, 39.9961196315888)
"12","2821 N OPAL ST",0.04,0.06,0.09,0.13,0.2,0.09,0.13,0.18,0.25,0.34,0.09,0.13,0.18,0.25,0.34,"Glenwood","-75.1629526454038","39.9971635542378",c(-75.1629526454038, 39.9971635542378)
"13","1517 W INDIANA AVE",0.05,0.08,0.13,0.19,0.26,0.07,0.1,0.15,0.21,0.29,0.07,0.1,0.15,0.21,0.29,"Glenwood","-75.15573585798","39.9989538503559",c(-75.15573585798, 39.9989538503559)
"14","2737 N GARNET ST",0.04,0.06,0.1,0.14,0.21,0.09,0.13,0.18,0.25,0.34,0.09,0.13,0.18,0.25,0.34,"Glenwood","-75.1627261839657","39.9959174491983",c(-75.1627261839657, 39.9959174491983)
