"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","4336 SILVERWOOD ST",0.02,0.04,0.06,0.09,0.13,0.16,0.23,0.31,0.41,0.51,0.16,0.23,0.31,0.41,0.51,"Manayunk","-75.2214742060184","40.0265446558687",c(-75.2214742060184, 40.0265446558687)
"2","4646 SILVERWOOD ST",0.03,0.04,0.07,0.1,0.16,0.14,0.2,0.27,0.36,0.46,0.14,0.2,0.27,0.36,0.46,"Manayunk","-75.2256736069073","40.0329243724201",c(-75.2256736069073, 40.0329243724201)
"3","173 GAY ST",0.02,0.04,0.06,0.09,0.14,0.16,0.22,0.3,0.4,0.5,0.16,0.22,0.3,0.4,0.5,"Manayunk","-75.2226768195486","40.0275131561015",c(-75.2226768195486, 40.0275131561015)
"4","161 CARSON ST",0.03,0.04,0.06,0.1,0.14,0.21,0.28,0.37,0.48,0.58,0.21,0.28,0.37,0.48,0.58,"Manayunk","-75.2245799224563","40.0278162606047",c(-75.2245799224563, 40.0278162606047)
"5","4638 CANTON ST",0.02,0.03,0.04,0.07,0.1,0.16,0.23,0.31,0.41,0.51,0.16,0.23,0.31,0.41,0.51,"Manayunk","-75.2310751092686","40.0301598741138",c(-75.2310751092686, 40.0301598741138)
"6","2 LEVERINGTON AVE",0.03,0.04,0.06,0.1,0.15,0.15,0.22,0.3,0.39,0.49,0.15,0.22,0.3,0.39,0.49,"Manayunk","-75.2314148257809","40.0298657834437",c(-75.2314148257809, 40.0298657834437)
"7","237 GAY ST",0.04,0.05,0.08,0.13,0.18,0.15,0.21,0.29,0.38,0.48,0.15,0.21,0.29,0.38,0.48,"Manayunk","-75.2211325804359","40.0282405055219",c(-75.2211325804359, 40.0282405055219)
"8","136 GAY ST",0.02,0.04,0.06,0.09,0.14,0.21,0.29,0.38,0.49,0.59,0.21,0.29,0.38,0.49,0.59,"Manayunk","-75.2237861134341","40.027204622868",c(-75.2237861134341, 40.027204622868)
"9","4513 SMICK ST",0.02,0.04,0.06,0.09,0.13,0.17,0.23,0.31,0.41,0.52,0.17,0.23,0.31,0.41,0.52,"Manayunk","-75.2261670791126","40.0285608942514",c(-75.2261670791126, 40.0285608942514)
"10","4353 MAIN ST",0.04,0.06,0.09,0.14,0.2,0.22,0.29,0.39,0.49,0.59,0.22,0.29,0.39,0.49,0.59,"Manayunk","-75.2237415718163","40.0257520766966",c(-75.2237415718163, 40.0257520766966)
"11","4467 SILVERWOOD ST",0.02,0.04,0.06,0.09,0.13,0.16,0.22,0.31,0.4,0.5,0.16,0.22,0.31,0.4,0.5,"Manayunk","-75.222898349896","40.0289646899655",c(-75.222898349896, 40.0289646899655)
"12","163 HERMITAGE ST",0.02,0.03,0.05,0.08,0.12,0.16,0.22,0.31,0.4,0.5,0.16,0.22,0.31,0.4,0.5,"Manayunk","-75.2294008797391","40.0312456356929",c(-75.2294008797391, 40.0312456356929)
