"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","1601 PACKER AVE",0.02,0.04,0.06,0.09,0.13,0.31,0.41,0.51,0.61,0.71,0.31,0.41,0.51,0.61,0.71,"Packer Park","-75.1754065117824","39.9124704809693",c(-75.1754065117824, 39.9124704809693)
"2","3208 DENFELD PL",0.01,0.02,0.04,0.05,0.08,0.29,0.38,0.48,0.58,0.68,0.29,0.38,0.48,0.58,0.68,"Packer Park","-75.1796390138545","39.9097316561773",c(-75.1796390138545, 39.9097316561773)
"3","1634 FORRESTAL ST",0.02,0.02,0.04,0.06,0.09,0.32,0.41,0.52,0.62,0.71,0.32,0.41,0.52,0.62,0.71,"Packer Park","-75.1768820467646","39.9102030135317",c(-75.1768820467646, 39.9102030135317)
"4","3511 RESERVE DR",0.02,0.03,0.04,0.06,0.1,0.23,0.31,0.41,0.51,0.61,0.23,0.31,0.41,0.51,0.61,"Packer Park","-75.1873984678487","39.907968551797",c(-75.1873984678487, 39.907968551797)
"5","3510 CAPRI CT",0.02,0.02,0.04,0.06,0.09,0.23,0.31,0.4,0.51,0.61,0.23,0.31,0.4,0.51,0.61,"Packer Park","-75.1862086531916","39.9076930604333",c(-75.1862086531916, 39.9076930604333)
"6","3239 S SMEDLEY ST",0.02,0.03,0.04,0.07,0.1,0.3,0.4,0.5,0.6,0.7,0.3,0.4,0.5,0.6,0.7,"Packer Park","-75.1764478778892","39.9086728561095",c(-75.1764478778892, 39.9086728561095)
"7","2311 NAPOLI WAY",0.02,0.03,0.05,0.08,0.12,0.23,0.31,0.41,0.51,0.61,0.23,0.31,0.41,0.51,0.61,"Packer Park","-75.1891521046095","39.9106913350633",c(-75.1891521046095, 39.9106913350633)
"8","3327 S 20TH ST",0.01,0.02,0.03,0.05,0.08,0.26,0.35,0.45,0.56,0.66,0.26,0.35,0.45,0.56,0.66,"Packer Park","-75.1823925672064","39.909602575499",c(-75.1823925672064, 39.909602575499)
"9","3191 S 20TH ST",0.01,0.02,0.04,0.05,0.08,0.31,0.41,0.51,0.61,0.71,0.31,0.41,0.51,0.61,0.71,"Packer Park","-75.18214060568","39.9107055113954",c(-75.18214060568, 39.9107055113954)
"10","1908 FORRESTAL ST",0.01,0.02,0.04,0.05,0.08,0.35,0.45,0.55,0.65,0.74,0.35,0.45,0.55,0.65,0.74,"Packer Park","-75.1806065913959","39.910787728088",c(-75.1806065913959, 39.910787728088)
"11","3134 S UBER ST",0.02,0.02,0.04,0.06,0.09,0.27,0.37,0.47,0.57,0.67,0.27,0.37,0.47,0.57,0.67,"Packer Park","-75.1815567553578","39.9119352078078",c(-75.1815567553578, 39.9119352078078)
"12","3401 TUSCANY DR",0.02,0.04,0.06,0.09,0.13,0.19,0.26,0.35,0.45,0.55,0.19,0.26,0.35,0.45,0.55,"Packer Park","-75.1846143504836","39.9092795697216",c(-75.1846143504836, 39.9092795697216)
"13","3128 S 18TH ST",0.02,0.03,0.05,0.08,0.12,0.3,0.39,0.5,0.6,0.69,0.3,0.39,0.5,0.6,0.69,"Packer Park","-75.1781734140647","39.9114185977676",c(-75.1781734140647, 39.9114185977676)
"14","3245 S SMEDLEY ST",0.02,0.03,0.04,0.07,0.1,0.29,0.38,0.48,0.58,0.68,0.29,0.38,0.48,0.58,0.68,"Packer Park","-75.1764830767149","39.908497257636",c(-75.1764830767149, 39.908497257636)
"15","2306 HARTRANFT ST",0.02,0.03,0.05,0.08,0.12,0.22,0.3,0.4,0.5,0.6,0.22,0.3,0.4,0.5,0.6,"Packer Park","-75.1887495560228","39.9109597588552",c(-75.1887495560228, 39.9109597588552)
"16","1636 PACKER AVE",0.02,0.03,0.05,0.07,0.11,0.28,0.37,0.47,0.58,0.68,0.28,0.37,0.47,0.58,0.68,"Packer Park","-75.1765697059979","39.9121089968263",c(-75.1765697059979, 39.9121089968263)
"17","3128 LANVALE PL",0.01,0.02,0.04,0.06,0.09,0.23,0.31,0.41,0.52,0.62,0.23,0.31,0.41,0.52,0.62,"Packer Park","-75.1799557352586","39.9117148285756",c(-75.1799557352586, 39.9117148285756)
"18","1842 PACKER AVE",0.02,0.02,0.04,0.06,0.09,0.32,0.42,0.53,0.63,0.72,0.32,0.42,0.53,0.63,0.72,"Packer Park","-75.1791124877495","39.9124523239228",c(-75.1791124877495, 39.9124523239228)
"19","1723 PACKER AVE",0.02,0.03,0.05,0.07,0.11,0.26,0.34,0.44,0.55,0.65,0.26,0.34,0.44,0.55,0.65,"Packer Park","-75.1773734986288","39.9127330864449",c(-75.1773734986288, 39.9127330864449)
"20","2109 TREVI CT",0.02,0.02,0.04,0.06,0.09,0.26,0.35,0.44,0.55,0.65,0.26,0.35,0.44,0.55,0.65,"Packer Park","-75.1866431782847","39.9095579237709",c(-75.1866431782847, 39.9095579237709)
"21","3100 CAPRI DR",0.02,0.04,0.05,0.08,0.13,0.13,0.19,0.26,0.35,0.45,0.13,0.19,0.26,0.35,0.45,"Packer Park","-75.1850805679421","39.9103246057581",c(-75.1850805679421, 39.9103246057581)
"22","3116 CAPRI DR",0.02,0.04,0.05,0.08,0.13,0.13,0.19,0.26,0.35,0.45,0.13,0.19,0.26,0.35,0.45,"Packer Park","-75.1850805679421","39.9103246057581",c(-75.1850805679421, 39.9103246057581)
"23","3147 BOISE PL",0.01,0.02,0.04,0.06,0.09,0.35,0.45,0.55,0.65,0.74,0.35,0.45,0.55,0.65,0.74,"Packer Park","-75.1785770946568","39.9110193400066",c(-75.1785770946568, 39.9110193400066)
"24","3224 PIETRO WAY",0.02,0.03,0.05,0.08,0.12,0.22,0.3,0.4,0.5,0.6,0.22,0.3,0.4,0.5,0.6,"Packer Park","-75.1881357288459","39.9113990292265",c(-75.1881357288459, 39.9113990292265)
"25","3233 S SYDENHAM ST",0.02,0.03,0.05,0.07,0.11,0.3,0.4,0.5,0.6,0.7,0.3,0.4,0.5,0.6,0.7,"Packer Park","-75.1749069616141","39.908694528696",c(-75.1749069616141, 39.908694528696)
"26","3208 S 17TH ST",0.02,0.02,0.04,0.06,0.09,0.29,0.38,0.48,0.59,0.68,0.29,0.38,0.48,0.59,0.68,"Packer Park","-75.1777196862884","39.9095526809192",c(-75.1777196862884, 39.9095526809192)
"27","3245 S SYDENHAM ST",0.02,0.03,0.05,0.07,0.11,0.29,0.38,0.48,0.58,0.68,0.29,0.38,0.48,0.58,0.68,"Packer Park","-75.1749815417555","39.9083492271798",c(-75.1749815417555, 39.9083492271798)
"28","3512 TUSCANY DR",0.02,0.02,0.04,0.06,0.09,0.23,0.31,0.41,0.51,0.61,0.23,0.31,0.41,0.51,0.61,"Packer Park","-75.18529087327","39.907552352142",c(-75.18529087327, 39.907552352142)
"29","3405 PRIMA CT",0.02,0.02,0.04,0.06,0.09,0.26,0.35,0.45,0.55,0.65,0.26,0.35,0.45,0.55,0.65,"Packer Park","-75.1835414893753","39.9089740243727",c(-75.1835414893753, 39.9089740243727)
"30","1915 HARTRANFT ST",0.01,0.02,0.03,0.05,0.08,0.29,0.39,0.49,0.59,0.69,0.29,0.39,0.49,0.59,0.69,"Packer Park","-75.1817850705249","39.9093103590599",c(-75.1817850705249, 39.9093103590599)
"31","3138 OLYMPIA PL",0.01,0.02,0.04,0.06,0.09,0.22,0.3,0.4,0.5,0.61,0.22,0.3,0.4,0.5,0.61,"Packer Park","-75.1807992413142","39.9115264467753",c(-75.1807992413142, 39.9115264467753)
"32","2116 RESERVE DR",0.03,0.04,0.06,0.09,0.14,0.19,0.26,0.35,0.45,0.55,0.19,0.26,0.35,0.45,0.55,"Packer Park","-75.1869779274284","39.9083135024361",c(-75.1869779274284, 39.9083135024361)
"33","3169 S SYDENHAM ST",0.03,0.04,0.07,0.1,0.15,0.29,0.38,0.49,0.59,0.69,0.29,0.38,0.49,0.59,0.69,"Packer Park","-75.1746713891269","39.910096086923",c(-75.1746713891269, 39.910096086923)
"34","3401 CAPRI CT",0.02,0.03,0.04,0.06,0.1,0.21,0.29,0.39,0.49,0.59,0.21,0.29,0.39,0.49,0.59,"Packer Park","-75.1852122658715","39.9094805977393",c(-75.1852122658715, 39.9094805977393)
"35","3206 TRIESTE WAY",0.02,0.04,0.06,0.09,0.13,0.23,0.31,0.41,0.51,0.61,0.23,0.31,0.41,0.51,0.61,"Packer Park","-75.1902782094299","39.9125376849774",c(-75.1902782094299, 39.9125376849774)
"36","1514 CURTIN ST",0.03,0.04,0.07,0.1,0.15,0.27,0.35,0.45,0.56,0.66,0.27,0.35,0.45,0.56,0.66,"Packer Park","-75.1749902895721","39.9106224466415",c(-75.1749902895721, 39.9106224466415)
"37","1904 SCHLEY ST",0.02,0.04,0.05,0.08,0.13,0.18,0.25,0.34,0.44,0.55,0.18,0.25,0.34,0.44,0.55,"Packer Park","-75.1802924460493","39.9119220341174",c(-75.1802924460493, 39.9119220341174)
"38","1709 HARTRANFT ST",0.02,0.03,0.05,0.08,0.12,0.17,0.24,0.32,0.42,0.52,0.17,0.24,0.32,0.42,0.52,"Packer Park","-75.1780405551957","39.9088064297052",c(-75.1780405551957, 39.9088064297052)
"39","3151 S SYDENHAM ST",0.02,0.03,0.05,0.07,0.11,0.31,0.4,0.5,0.61,0.7,0.31,0.4,0.5,0.61,0.7,"Packer Park","-75.1745840923467","39.9104888257295",c(-75.1745840923467, 39.9104888257295)
"40","3220 NAPOLI WAY",0.02,0.03,0.05,0.08,0.12,0.22,0.3,0.4,0.5,0.6,0.22,0.3,0.4,0.5,0.6,"Packer Park","-75.1896976485166","39.9115954557207",c(-75.1896976485166, 39.9115954557207)
"41","3213 NAPOLI WAY",0.02,0.03,0.05,0.08,0.13,0.22,0.3,0.4,0.5,0.6,0.22,0.3,0.4,0.5,0.6,"Packer Park","-75.1891143444016","39.91197204677",c(-75.1891143444016, 39.91197204677)
"42","1818 SCHLEY ST",0.02,0.03,0.05,0.08,0.12,0.18,0.25,0.34,0.44,0.55,0.18,0.25,0.34,0.44,0.55,"Packer Park","-75.1785634323834","39.9117114760843",c(-75.1785634323834, 39.9117114760843)
"43","1916 SCHLEY ST",0.02,0.02,0.04,0.06,0.09,0.22,0.3,0.4,0.5,0.61,0.22,0.3,0.4,0.5,0.61,"Packer Park","-75.1806256872778","39.9119680653508",c(-75.1806256872778, 39.9119680653508)
"44","2111 RESERVE DR",0.03,0.04,0.06,0.09,0.14,0.2,0.27,0.36,0.46,0.57,0.2,0.27,0.36,0.46,0.57,"Packer Park","-75.1865333189184","39.908641874568",c(-75.1865333189184, 39.908641874568)
"45","3112 S 17TH ST",0.02,0.03,0.04,0.07,0.1,0.31,0.4,0.5,0.61,0.7,0.31,0.4,0.5,0.61,0.7,"Packer Park","-75.1772087672527","39.9120286703424",c(-75.1772087672527, 39.9120286703424)
"46","3118 S 17TH ST",0.02,0.03,0.04,0.06,0.1,0.31,0.4,0.5,0.61,0.7,0.31,0.4,0.5,0.61,0.7,"Packer Park","-75.1772369339201","39.9119002854921",c(-75.1772369339201, 39.9119002854921)
"47","3228 S SMEDLEY ST",0.03,0.04,0.06,0.1,0.15,0.25,0.34,0.44,0.54,0.64,0.25,0.34,0.44,0.54,0.64,"Packer Park","-75.1768337165931","39.9091130013832",c(-75.1768337165931, 39.9091130013832)
"48","1806 HULSEMAN ST",0.01,0.02,0.04,0.06,0.08,0.29,0.38,0.48,0.58,0.68,0.29,0.38,0.48,0.58,0.68,"Packer Park","-75.1787454942923","39.9092068939364",c(-75.1787454942923, 39.9092068939364)
"49","1717 HARTRANFT ST",0.02,0.03,0.05,0.08,0.12,0.25,0.33,0.43,0.54,0.64,0.25,0.33,0.43,0.54,0.64,"Packer Park","-75.1783240595411","39.9088436656191",c(-75.1783240595411, 39.9088436656191)
"50","1628 CROATAN PL",0.02,0.03,0.04,0.06,0.1,0.31,0.4,0.5,0.61,0.7,0.31,0.4,0.5,0.61,0.7,"Packer Park","-75.1765339867986","39.9112758724921",c(-75.1765339867986, 39.9112758724921)
"51","2022 RESERVE DR",0.02,0.04,0.06,0.09,0.13,0.21,0.29,0.38,0.49,0.59,0.21,0.29,0.38,0.49,0.59,"Packer Park","-75.1847395022602","39.9080319863304",c(-75.1847395022602, 39.9080319863304)
