"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","421 FITZWATER ST",0.02,0.03,0.05,0.08,0.12,0.31,0.41,0.51,0.62,0.71,0.31,0.41,0.51,0.62,0.71,"Queen Village","-75.1502794641457","39.9396533954327",c(-75.1502794641457, 39.9396533954327)
"2","434 FULTON ST",0.03,0.05,0.08,0.12,0.17,0.17,0.24,0.33,0.42,0.53,0.17,0.24,0.33,0.42,0.53,"Queen Village","-75.1509826548975","39.9386926803391",c(-75.1509826548975, 39.9386926803391)
"3","623 S 6TH ST",0.03,0.05,0.07,0.11,0.16,0.21,0.29,0.39,0.49,0.59,0.21,0.29,0.39,0.49,0.59,"Queen Village","-75.1522187686065","39.9412878191292",c(-75.1522187686065, 39.9412878191292)
"4","758 S 4TH ST",0,0,0.01,0.01,0.01,0.25,0.33,0.43,0.54,0.64,0.25,0.33,0.43,0.54,0.64,"Queen Village","-75.1501150810996","39.938890609849",c(-75.1501150810996, 39.938890609849)
"5","322 MONROE ST",0.02,0.03,0.04,0.06,0.09,0.27,0.36,0.46,0.57,0.67,0.27,0.36,0.46,0.57,0.67,"Queen Village","-75.1487725529691","39.9396603683715",c(-75.1487725529691, 39.9396603683715)
"6","305 KATER ST",0.02,0.03,0.04,0.06,0.09,0.29,0.38,0.49,0.59,0.69,0.29,0.38,0.49,0.59,0.69,"Queen Village","-75.1482953744872","39.9411697749266",c(-75.1482953744872, 39.9411697749266)
"7","902 S FRONT ST",0.03,0.04,0.06,0.1,0.15,0.31,0.4,0.5,0.61,0.7,0.31,0.4,0.5,0.61,0.7,"Queen Village","-75.1454998010808","39.9354491620338",c(-75.1454998010808, 39.9354491620338)
"8","223 CARPENTER ST",0.02,0.04,0.06,0.09,0.14,0.2,0.27,0.36,0.46,0.57,0.2,0.27,0.36,0.46,0.57,"Queen Village","-75.1483908794669","39.9351370636725",c(-75.1483908794669, 39.9351370636725)
"9","606 S AMERICAN ST",0.02,0.04,0.06,0.09,0.14,0.21,0.28,0.38,0.48,0.58,0.21,0.28,0.38,0.48,0.58,"Queen Village","-75.1470265312206","39.9410957384519",c(-75.1470265312206, 39.9410957384519)
"10","301 KATER ST",0.02,0.03,0.05,0.07,0.11,0.29,0.38,0.49,0.59,0.69,0.29,0.38,0.49,0.59,0.69,"Queen Village","-75.1482016566595","39.941157118795",c(-75.1482016566595, 39.941157118795)
"11","304 SALTER ST",0.04,0.06,0.1,0.15,0.21,0.23,0.32,0.41,0.52,0.62,0.23,0.32,0.41,0.52,0.62,"Queen Village","-75.1465393380343","39.9354157817888",c(-75.1465393380343, 39.9354157817888)
"12","514 MONTROSE ST",0.03,0.04,0.07,0.11,0.16,0.24,0.33,0.43,0.53,0.63,0.24,0.33,0.43,0.53,0.63,"Queen Village","-75.1525071835416","39.9366452595815",c(-75.1525071835416, 39.9366452595815)
"13","406 MONROE ST",0.02,0.03,0.05,0.08,0.11,0.29,0.38,0.48,0.59,0.68,0.29,0.38,0.48,0.59,0.68,"Queen Village","-75.1498759871294","39.9398618582986",c(-75.1498759871294, 39.9398618582986)
"14","211 CHRISTIAN ST",0.06,0.09,0.13,0.19,0.27,0.33,0.43,0.53,0.63,0.72,0.33,0.43,0.53,0.63,0.72,"Queen Village","-75.1473648994998","39.9363325003308",c(-75.1473648994998, 39.9363325003308)
"15","759 S FRONT ST",0.02,0.04,0.05,0.08,0.13,0.21,0.28,0.37,0.48,0.58,0.21,0.28,0.37,0.48,0.58,"Queen Village","-75.1444208602744","39.9382648994129",c(-75.1444208602744, 39.9382648994129)
"16","105 KENILWORTH ST",0.02,0.03,0.04,0.07,0.1,0.35,0.45,0.56,0.66,0.74,0.35,0.45,0.56,0.66,0.74,"Queen Village","-75.1446528735525","39.9397653526469",c(-75.1446528735525, 39.9397653526469)
"17","300 BAINBRIDGE ST",0.02,0.03,0.04,0.06,0.1,0.14,0.2,0.28,0.37,0.47,0.14,0.2,0.28,0.37,0.47,"Queen Village","-75.1481050537442","39.9402612972353",c(-75.1481050537442, 39.9402612972353)
"18","608 S 3RD ST",0.03,0.04,0.07,0.1,0.15,0.13,0.19,0.26,0.35,0.45,0.13,0.19,0.26,0.35,0.45,"Queen Village","-75.1479202292079","39.9411633316054",c(-75.1479202292079, 39.9411633316054)
