"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","2524 W ARIZONA ST",0.05,0.07,0.11,0.17,0.24,0.08,0.11,0.16,0.22,0.31,0.08,0.11,0.16,0.22,0.31,"Strawberry Mansion","-75.1741705554716","39.9912790259201",c(-75.1741705554716, 39.9912790259201)
"2","2563 N 28TH ST",0.05,0.07,0.11,0.17,0.24,0.09,0.13,0.19,0.26,0.35,0.09,0.13,0.19,0.26,0.35,"Strawberry Mansion","-75.1770921328294","39.9951288757255",c(-75.1770921328294, 39.9951288757255)
"3","2453 W GORDON ST",0.06,0.09,0.13,0.2,0.28,0.07,0.1,0.14,0.2,0.28,0.07,0.1,0.14,0.2,0.28,"Strawberry Mansion","-75.1733546097333","39.9910427202798",c(-75.1733546097333, 39.9910427202798)
"4","2511 N 30TH ST",0.04,0.06,0.09,0.14,0.2,0.09,0.13,0.18,0.26,0.34,0.09,0.13,0.18,0.26,0.34,"Strawberry Mansion","-75.1805967055686","39.9944401275791",c(-75.1805967055686, 39.9944401275791)
"5","3008 DIAMOND ST",0.04,0.06,0.1,0.14,0.21,0.06,0.09,0.13,0.19,0.26,0.06,0.09,0.13,0.19,0.26,"Strawberry Mansion","-75.1827406260339","39.9878847481964",c(-75.1827406260339, 39.9878847481964)
"6","2948 EDGLEY ST",0.06,0.09,0.14,0.21,0.29,0.07,0.1,0.14,0.2,0.28,0.07,0.1,0.14,0.2,0.28,"Strawberry Mansion","-75.1816875667142","39.9882612318971",c(-75.1816875667142, 39.9882612318971)
"7","2509 N 30TH ST",0.04,0.06,0.09,0.14,0.2,0.09,0.13,0.18,0.26,0.34,0.09,0.13,0.18,0.26,0.34,"Strawberry Mansion","-75.1806060958767","39.9943967865448",c(-75.1806060958767, 39.9943967865448)
"8","2921-23 W SUSQUEHANNA AVE",0.06,0.09,0.14,0.2,0.28,0.07,0.1,0.15,0.21,0.29,0.07,0.1,0.15,0.21,0.29,"Strawberry Mansion","-75.1812732843342","39.9897651281323",c(-75.1812732843342, 39.9897651281323)
"9","2241 N 26TH ST",0.05,0.08,0.13,0.19,0.27,0.08,0.11,0.16,0.22,0.3,0.08,0.11,0.16,0.22,0.3,"Strawberry Mansion","-75.1751823801927","39.9899942814214",c(-75.1751823801927, 39.9899942814214)
"10","3435 RIDGE AVE",0.06,0.09,0.13,0.19,0.27,0.06,0.08,0.12,0.18,0.24,0.06,0.08,0.12,0.18,0.24,"Strawberry Mansion","-75.187171099002","39.9957999084405",c(-75.187171099002, 39.9957999084405)
"11","2514 N 32ND ST",0.06,0.09,0.14,0.2,0.29,0.05,0.08,0.11,0.16,0.23,0.05,0.08,0.11,0.16,0.23,"Strawberry Mansion","-75.1841718874997","39.9949891036233",c(-75.1841718874997, 39.9949891036233)
"12","2607 W HAROLD ST",0.05,0.08,0.12,0.18,0.26,0.08,0.11,0.16,0.22,0.3,0.08,0.11,0.16,0.22,0.3,"Strawberry Mansion","-75.1743959658157","39.995644760081",c(-75.1743959658157, 39.995644760081)
"13","2538 W YORK ST",0.05,0.07,0.11,0.16,0.24,0.06,0.09,0.13,0.19,0.26,0.06,0.09,0.13,0.19,0.26,"Strawberry Mansion","-75.1745498428382","39.9916726520854",c(-75.1745498428382, 39.9916726520854)
"14","2509 W CUMBERLAND ST",0.03,0.05,0.08,0.12,0.17,0.1,0.14,0.2,0.27,0.36,0.1,0.14,0.2,0.27,0.36,"Strawberry Mansion","-75.1733221204988","39.9933507794354",c(-75.1733221204988, 39.9933507794354)
"15","3141 CLIFFORD ST",0.23,0.32,0.43,0.54,0.65,0.13,0.19,0.26,0.35,0.45,0.13,0.19,0.26,0.35,0.45,"Strawberry Mansion","-75.1862127519308","39.9833057384001",c(-75.1862127519308, 39.9833057384001)
"16","2607 N 33RD ST",0.06,0.08,0.13,0.19,0.27,0.07,0.1,0.15,0.21,0.29,0.07,0.1,0.15,0.21,0.29,"Strawberry Mansion","-75.1850778831679","39.9964669920341",c(-75.1850778831679, 39.9964669920341)
