"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","4055 SPRING GARDEN ST",0.05,0.07,0.11,0.17,0.24,0.1,0.15,0.21,0.29,0.38,0.1,0.15,0.21,0.29,0.38,"West Powelton","-75.2043226478478","39.9616556792025",c(-75.2043226478478, 39.9616556792025)
"2","400 N 41ST ST",0.06,0.09,0.14,0.2,0.28,0.2,0.28,0.37,0.48,0.58,0.2,0.28,0.37,0.48,0.58,"West Powelton","-75.2056612910891","39.9601949393876",c(-75.2056612910891, 39.9601949393876)
"3","87 N 46TH ST",0.04,0.06,0.09,0.13,0.19,0.2,0.27,0.36,0.47,0.57,0.2,0.27,0.36,0.47,0.57,"West Powelton","-75.2130005808288","39.9612393776303",c(-75.2130005808288, 39.9612393776303)
"4","321 STATE ST",0.04,0.05,0.08,0.13,0.18,0.09,0.13,0.19,0.26,0.35,0.09,0.13,0.19,0.26,0.35,"West Powelton","-75.2003897496455","39.9598454330982",c(-75.2003897496455, 39.9598454330982)
"5","4024 SPRING GARDEN ST",0.03,0.05,0.07,0.11,0.17,0.13,0.19,0.26,0.35,0.45,0.13,0.19,0.26,0.35,0.45,"West Powelton","-75.2033187510805","39.9613477691905",c(-75.2033187510805, 39.9613477691905)
"6","4032 GREEN ST",0.04,0.07,0.1,0.16,0.23,0.11,0.15,0.21,0.29,0.39,0.11,0.15,0.21,0.29,0.39,"West Powelton","-75.203321254246","39.9620057498581",c(-75.203321254246, 39.9620057498581)
"7","57 N 46TH ST",0.03,0.05,0.08,0.12,0.18,0.2,0.27,0.36,0.47,0.57,0.2,0.27,0.36,0.47,0.57,"West Powelton","-75.2132579376248","39.9601717546699",c(-75.2132579376248, 39.9601717546699)
"8","14 N 42ND ST",0.05,0.08,0.12,0.17,0.25,0.08,0.12,0.17,0.24,0.33,0.08,0.12,0.17,0.24,0.33,"West Powelton","-75.2063880037421","39.9581084877472",c(-75.2063880037421, 39.9581084877472)
"9","4009 SPRING GARDEN ST",0.04,0.07,0.1,0.15,0.22,0.11,0.15,0.22,0.29,0.39,0.11,0.15,0.22,0.29,0.39,"West Powelton","-75.2026881337894","39.9618085521899",c(-75.2026881337894, 39.9618085521899)
"10","435 UNION ST",0.03,0.05,0.07,0.11,0.16,0.18,0.25,0.34,0.43,0.54,0.18,0.25,0.34,0.43,0.54,"West Powelton","-75.2008020659698","39.9612671875305",c(-75.2008020659698, 39.9612671875305)
