"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","603 ACORN ST",0.03,0.04,0.06,0.1,0.14,0.23,0.31,0.41,0.52,0.62,0.23,0.31,0.41,0.52,0.62,"Wissahickon Hills","-75.2166033888824","40.0398646487009",c(-75.2166033888824, 40.0398646487009)
"2","549 FAIRWAY TER",0.03,0.04,0.07,0.1,0.15,0.23,0.31,0.41,0.51,0.62,0.23,0.31,0.41,0.51,0.62,"Wissahickon Hills","-75.2193629926724","40.0394124479235",c(-75.2193629926724, 40.0394124479235)
"3","6468 HENRY AVE",0.02,0.03,0.05,0.07,0.11,0.23,0.32,0.41,0.52,0.62,0.23,0.32,0.41,0.52,0.62,"Wissahickon Hills","-75.2179748423331","40.0419996312743",c(-75.2179748423331, 40.0419996312743)
"4","542 OVERLOOK RD",0.03,0.04,0.06,0.1,0.14,0.2,0.28,0.37,0.48,0.58,0.2,0.28,0.37,0.48,0.58,"Wissahickon Hills","-75.2212281100099","40.0400681329053",c(-75.2212281100099, 40.0400681329053)
"5","565 FOUNTAIN ST",0.04,0.06,0.09,0.13,0.2,0.16,0.22,0.3,0.39,0.5,0.16,0.22,0.3,0.39,0.5,"Wissahickon Hills","-75.2197102117543","40.0402406054154",c(-75.2197102117543, 40.0402406054154)
"6","6440 HENRY AVE",0.02,0.04,0.06,0.09,0.13,0.17,0.24,0.32,0.42,0.52,0.17,0.24,0.32,0.42,0.52,"Wissahickon Hills","-75.2165325616795","40.041259049372",c(-75.2165325616795, 40.041259049372)
"7","6435 RIDGE AVE",0.04,0.07,0.1,0.15,0.22,0.18,0.25,0.33,0.43,0.53,0.18,0.25,0.33,0.43,0.53,"Wissahickon Hills","-75.2217687843896","40.0380075177539",c(-75.2217687843896, 40.0380075177539)
"8","601 FOUNTAIN ST",0.02,0.03,0.05,0.08,0.12,0.23,0.31,0.41,0.52,0.62,0.23,0.31,0.41,0.52,0.62,"Wissahickon Hills","-75.2193709933902","40.04130605414",c(-75.2193709933902, 40.04130605414)
"9","576 ACORN ST",0.03,0.04,0.07,0.1,0.15,0.17,0.24,0.32,0.42,0.52,0.17,0.24,0.32,0.42,0.52,"Wissahickon Hills","-75.2177659050569","40.039813915125",c(-75.2177659050569, 40.039813915125)
"10","6509 SHALKOP ST",0.02,0.04,0.06,0.09,0.13,0.26,0.35,0.45,0.55,0.65,0.26,0.35,0.45,0.55,0.65,"Wissahickon Hills","-75.2203994074659","40.0410210377718",c(-75.2203994074659, 40.0410210377718)
"11","533 OVERLOOK RD",0.03,0.04,0.07,0.1,0.15,0.21,0.28,0.37,0.48,0.58,0.21,0.28,0.37,0.48,0.58,"Wissahickon Hills","-75.2211598535339","40.0394252098677",c(-75.2211598535339, 40.0394252098677)
"12","506 GATES ST",0.03,0.04,0.06,0.09,0.14,0.15,0.21,0.28,0.38,0.48,0.15,0.21,0.28,0.38,0.48,"Wissahickon Hills","-75.220080708292","40.0379497519851",c(-75.220080708292, 40.0379497519851)
"13","580 FAIRWAY TER",0.03,0.04,0.06,0.1,0.14,0.23,0.31,0.41,0.51,0.62,0.23,0.31,0.41,0.51,0.62,"Wissahickon Hills","-75.2179406849435","40.040436762362",c(-75.2179406849435, 40.040436762362)
"14","562 ACORN ST",0.03,0.04,0.07,0.1,0.15,0.24,0.33,0.43,0.53,0.63,0.24,0.33,0.43,0.53,0.63,"Wissahickon Hills","-75.2184636660735","40.0395151456323",c(-75.2184636660735, 40.0395151456323)
