"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","120 SUMAC ST",0.03,0.05,0.07,0.11,0.16,0.12,0.17,0.24,0.32,0.42,0.12,0.17,0.24,0.32,0.42,"Wissahickon","-75.2090710437895","40.0168304652281",c(-75.2090710437895, 40.0168304652281)
"2","5476 QUENTIN ST",0.02,0.04,0.06,0.09,0.13,0.2,0.28,0.37,0.47,0.57,0.2,0.28,0.37,0.47,0.57,"Wissahickon","-75.2053018981099","40.0231438138057",c(-75.2053018981099, 40.0231438138057)
"3","5463 VICARIS ST",0.04,0.06,0.09,0.13,0.19,0.21,0.29,0.38,0.48,0.59,0.21,0.29,0.38,0.48,0.59,"Wissahickon","-75.2057987415306","40.0232501485118",c(-75.2057987415306, 40.0232501485118)
"4","259 OSBORN ST",0.03,0.04,0.06,0.1,0.14,0.2,0.27,0.37,0.47,0.57,0.2,0.27,0.37,0.47,0.57,"Wissahickon","-75.2057039681462","40.0201408926333",c(-75.2057039681462, 40.0201408926333)
"5","3917 CRESSON ST",0.03,0.04,0.07,0.1,0.15,0.13,0.18,0.25,0.34,0.44,0.13,0.18,0.25,0.34,0.44,"Wissahickon","-75.2148810402478","40.0208739734425",c(-75.2148810402478, 40.0208739734425)
"6","3822 SHARP ST",0.02,0.03,0.05,0.07,0.11,0.15,0.22,0.29,0.39,0.49,0.15,0.22,0.29,0.39,0.49,"Wissahickon","-75.2140124091532","40.0206575332741",c(-75.2140124091532, 40.0206575332741)
"7","5474 QUENTIN ST",0.02,0.04,0.06,0.09,0.13,0.2,0.28,0.37,0.47,0.57,0.2,0.28,0.37,0.47,0.57,"Wissahickon","-75.2052702053608","40.0231047378356",c(-75.2052702053608, 40.0231047378356)
"8","3829 CRESSON ST",0.03,0.04,0.06,0.1,0.15,0.13,0.18,0.25,0.34,0.43,0.13,0.18,0.25,0.34,0.43,"Wissahickon","-75.2144683502013","40.0205313839806",c(-75.2144683502013, 40.0205313839806)
"9","151 SHURS LN",0.04,0.06,0.09,0.13,0.19,0.13,0.18,0.25,0.34,0.44,0.13,0.18,0.25,0.34,0.44,"Wissahickon","-75.2157644977156","40.0234215316324",c(-75.2157644977156, 40.0234215316324)
"10","5428 VICARIS ST",0.03,0.04,0.06,0.09,0.14,0.25,0.34,0.44,0.55,0.65,0.25,0.34,0.44,0.55,0.65,"Wissahickon","-75.2056236423115","40.0222228012655",c(-75.2056236423115, 40.0222228012655)
"11","114 HERMIT ST",0.02,0.03,0.04,0.07,0.1,0.15,0.21,0.29,0.39,0.49,0.15,0.21,0.29,0.39,0.49,"Wissahickon","-75.2144578288336","40.0209932859089",c(-75.2144578288336, 40.0209932859089)
"12","5478 QUENTIN ST",0.02,0.04,0.06,0.09,0.13,0.15,0.21,0.28,0.37,0.48,0.15,0.21,0.28,0.37,0.48,"Wissahickon","-75.2053321689812","40.0231822113392",c(-75.2053321689812, 40.0231822113392)
"13","5455 QUENTIN ST",0.02,0.04,0.06,0.09,0.13,0.2,0.28,0.37,0.47,0.58,0.2,0.28,0.37,0.47,0.58,"Wissahickon","-75.2041003865737","40.0227316743977",c(-75.2041003865737, 40.0227316743977)
