"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","3900 FORD RD",0.11,0.17,0.24,0.34,0.45,0.35,0.45,0.55,0.65,0.74,0.35,0.45,0.55,0.65,0.74,"Wynnefield Heights","-75.2087137301187","39.9987743446464",c(-75.2087137301187, 39.9987743446464)
"2","4027 BALWYNNE PARK RD",0.04,0.06,0.09,0.14,0.2,0.11,0.15,0.22,0.3,0.39,0.11,0.15,0.22,0.3,0.39,"Wynnefield Heights","-75.2107732880667","39.9993289289708",c(-75.2107732880667, 39.9993289289708)
"3","3987 LANKENAU AVE",0.04,0.06,0.1,0.15,0.21,0.14,0.2,0.27,0.36,0.47,0.14,0.2,0.27,0.36,0.47,"Wynnefield Heights","-75.2093263054784","40.0010621598641",c(-75.2093263054784, 40.0010621598641)
"4","3808 CONSHOHOCKEN AVE",0.04,0.06,0.1,0.15,0.21,0.15,0.21,0.29,0.38,0.48,0.15,0.21,0.29,0.38,0.48,"Wynnefield Heights","-75.2050811139239","40.0028889839904",c(-75.2050811139239, 40.0028889839904)
"5","3914 LANKENAU AVE",0.04,0.06,0.09,0.14,0.2,0.16,0.22,0.3,0.39,0.5,0.16,0.22,0.3,0.39,0.5,"Wynnefield Heights","-75.2069562690526","40.000840004021",c(-75.2069562690526, 40.000840004021)
"6","3600 CONSHOHOCKEN AVE",0.08,0.12,0.17,0.25,0.34,0.3,0.39,0.5,0.6,0.7,0.3,0.39,0.5,0.6,0.7,"Wynnefield Heights","-75.2019947985324","40.003784207653",c(-75.2019947985324, 40.003784207653)
"7","4065 BALWYNNE PARK RD",0.03,0.05,0.08,0.12,0.17,0.12,0.17,0.23,0.32,0.41,0.12,0.17,0.23,0.32,0.41,"Wynnefield Heights","-75.2122022565702","39.9996281029627",c(-75.2122022565702, 39.9996281029627)
"8","3971 LANKENAU AVE",0.04,0.06,0.1,0.15,0.21,0.14,0.2,0.27,0.36,0.47,0.14,0.2,0.27,0.36,0.47,"Wynnefield Heights","-75.2086703511579","40.0012157116919",c(-75.2086703511579, 40.0012157116919)
"9","3957 LANKENAU AVE",0.04,0.06,0.1,0.15,0.21,0.23,0.31,0.41,0.51,0.61,0.23,0.31,0.41,0.51,0.61,"Wynnefield Heights","-75.208188495294","40.0013153100908",c(-75.208188495294, 40.0013153100908)
"10","3933 LANKENAU AVE",0.04,0.06,0.09,0.14,0.21,0.19,0.26,0.35,0.45,0.56,0.19,0.26,0.35,0.45,0.56,"Wynnefield Heights","-75.2070218618967","40.001340505026",c(-75.2070218618967, 40.001340505026)
"11","4074 FORD RD",0.02,0.03,0.05,0.08,0.12,0.15,0.21,0.29,0.39,0.49,0.15,0.21,0.29,0.39,0.49,"Wynnefield Heights","-75.2122495024264","40.000004020467",c(-75.2122495024264, 40.000004020467)
"12","2659 DAPHNE RD",0.04,0.06,0.1,0.14,0.21,0.11,0.15,0.22,0.3,0.39,0.11,0.15,0.22,0.3,0.39,"Wynnefield Heights","-75.2083896083875","40.0008060611986",c(-75.2083896083875, 40.0008060611986)
"13","3720 CONSHOHOCKEN AVE",0.04,0.06,0.09,0.14,0.21,0.15,0.21,0.29,0.38,0.48,0.15,0.21,0.29,0.38,0.48,"Wynnefield Heights","-75.2040560634533","40.0030401072683",c(-75.2040560634533, 40.0030401072683)
"14","2586 CRANSTON RD",0.04,0.06,0.1,0.15,0.21,0.14,0.19,0.27,0.36,0.46,0.14,0.19,0.27,0.36,0.46,"Wynnefield Heights","-75.2102192906014","39.999187244593",c(-75.2102192906014, 39.999187244593)
"15","4019 BALWYNNE PARK RD",0.04,0.06,0.09,0.14,0.21,0.11,0.15,0.22,0.3,0.39,0.11,0.15,0.22,0.3,0.39,"Wynnefield Heights","-75.2104959117512","39.9992710567912",c(-75.2104959117512, 39.9992710567912)
"16","3715 MIMI CIR",0.04,0.06,0.08,0.13,0.19,0.21,0.29,0.38,0.48,0.59,0.21,0.29,0.38,0.48,0.59,"Wynnefield Heights","-75.2044088020856","40.0012847811219",c(-75.2044088020856, 40.0012847811219)
"17","2660 WENTWORTH RD",0.04,0.06,0.09,0.13,0.19,0.15,0.21,0.29,0.38,0.48,0.15,0.21,0.29,0.38,0.48,"Wynnefield Heights","-75.2068889280078","40.0004480746336",c(-75.2068889280078, 40.0004480746336)
"18","3944 CONSHOHOCKEN AVE",0.04,0.07,0.1,0.15,0.22,0.11,0.15,0.22,0.3,0.39,0.11,0.15,0.22,0.3,0.39,"Wynnefield Heights","-75.2104716528308","40.0019788422782",c(-75.2104716528308, 40.0019788422782)
"19","4055 BALWYNNE PARK RD",0.03,0.05,0.08,0.12,0.18,0.12,0.17,0.23,0.31,0.41,0.12,0.17,0.23,0.31,0.41,"Wynnefield Heights","-75.2118562202969","39.9995555634228",c(-75.2118562202969, 39.9995555634228)
"20","3740 COUNTRY CLUB RD",0.04,0.06,0.09,0.13,0.2,0.19,0.26,0.35,0.45,0.55,0.19,0.26,0.35,0.45,0.55,"Wynnefield Heights","-75.2052354913274","40.0014575359619",c(-75.2052354913274, 40.0014575359619)
"21","3777 LANKENAU RD",0.03,0.04,0.07,0.1,0.15,0.2,0.27,0.36,0.46,0.57,0.2,0.27,0.36,0.46,0.57,"Wynnefield Heights","-75.2059912838085","40.002478058041",c(-75.2059912838085, 40.002478058041)
"22","2740 W COUNTRY CLUB RD",0.04,0.06,0.1,0.14,0.21,0.16,0.22,0.3,0.4,0.5,0.16,0.22,0.3,0.4,0.5,"Wynnefield Heights","-75.207013583033","40.0016861424842",c(-75.207013583033, 40.0016861424842)
"23","3946 LANKENAU AVE",0.04,0.06,0.09,0.14,0.21,0.11,0.16,0.23,0.31,0.41,0.11,0.16,0.23,0.31,0.41,"Wynnefield Heights","-75.2081559489815","40.0008568787242",c(-75.2081559489815, 40.0008568787242)
"24","4018 BALWYNNE PARK RD",0.04,0.06,0.09,0.14,0.2,0.11,0.15,0.22,0.3,0.39,0.11,0.15,0.22,0.3,0.39,"Wynnefield Heights","-75.2105957104018","39.9987901323393",c(-75.2105957104018, 39.9987901323393)
"25","3734 CONSHOHOCKEN AVE",0.04,0.06,0.1,0.14,0.21,0.11,0.15,0.22,0.3,0.39,0.11,0.15,0.22,0.3,0.39,"Wynnefield Heights","-75.2046160713698","40.0029561151539",c(-75.2046160713698, 40.0029561151539)
"26","3744 LANKENAU RD",0.03,0.04,0.06,0.1,0.14,0.2,0.27,0.36,0.46,0.57,0.2,0.27,0.36,0.46,0.57,"Wynnefield Heights","-75.2052412304503","40.0021653133864",c(-75.2052412304503, 40.0021653133864)
"27","3802 CONSHOHOCKEN AVE",0.04,0.06,0.1,0.14,0.21,0.16,0.23,0.31,0.4,0.51,0.16,0.23,0.31,0.4,0.51,"Wynnefield Heights","-75.2048432150783","40.0029238019101",c(-75.2048432150783, 40.0029238019101)
"28","3878 CONSHOHOCKEN AVE",0.03,0.04,0.07,0.1,0.15,0.15,0.21,0.28,0.38,0.48,0.15,0.21,0.28,0.38,0.48,"Wynnefield Heights","-75.207252075272","40.002566521683",c(-75.207252075272, 40.002566521683)
